春	4752	0.0306
官	4740	0.0305
坚	4734	0.0304
令	4719	0.0303
句	4716	0.0303
助	4700	0.0302
简	4675	0.0301
杂	4669	0.03
材	4664	0.03
封	4653	0.0299
护	4649	0.0299
司	4643	0.0299
省	4636	0.0298
县	4630	0.0298
模	4626	0.0298
试	4623	0.0297
绝	4603	0.0296
洋	4600	0.0296
谁	4592	0.0295
继	4567	0.0294
止	4560	0.0293
喜	4550	0.0293
优	4541	0.0292
词	4526	0.0291
陈	4517	0.029
鱼	4499	0.0289
终	4479	0.0288
施	4440	0.0286
晚	4427	0.0285
朝	4426	0.0285
含	4424	0.0285
仍	4423	0.0284
脑	4382	0.0282
甚	4377	0.0281
汉	4376	0.0281
修	4357	0.028
油	4329	0.0278
衣	4327	0.0278
击	4325	0.0278
云	4315	0.0278
送	4314	0.0277
巴	4311	0.0277
普	4294	0.0276
征	4290	0.0276
错	4289	0.0276
均	4276	0.0275
投	4262	0.0274
波	4260	0.0274
余	4260	0.0274
友	4257	0.0274
武	4247	0.0273
责	4235	0.0272
游	4234	0.0272
敌	4223	0.0272
叶	4201	0.027
船	4184	0.0269
久	4180	0.0269
否	4179	0.0269
异	4169	0.0268
块	4166	0.0268
脚	4159	0.0267
怕	4156	0.0267
田	4143	0.0266
策	4142	0.0266
苏	4137	0.0266
乡	4130	0.0266
帝	4129	0.0266
靠	4125	0.0265
医	4114	0.0265
测	4111	0.0264
植	4104	0.0264
啊	4101	0.0264
括	4095	0.0263
换	4093	0.0263
逐	4091	0.0263
娘	4088	0.0263
罗	4075	0.0262
戏	4073	0.0262
善	4054	0.0261
获	4034	0.0259
待	4029	0.0259
降	4023	0.0259
冲	4019	0.0258
父	4015	0.0258
置	4014	0.0258
左	4007	0.0258
右	4000	0.0257
沉	3994	0.0257
酸	3992	0.0257
亮	3984	0.0256
良	3980	0.0256
班	3976	0.0256
著	3973	0.0256
亚	3969	0.0255
抗	3961	0.0255
啦	3954	0.0254
静	3943	0.0254
渐	3942	0.0254
概	3938	0.0253
居	3926	0.0252
跑	3919	0.0252
旧	3918	0.0252
防	3918	0.0252
买	3902	0.0251
挥	3897	0.0251
负	3882	0.025
帮	3875	0.0249
欢	3868	0.0249
冷	3848	0.0247
液	3825	0.0246
